isolabel_ext,status,base_intlevel,cover,overlay,cover_order,overlay_order
CM-AD-Bankim,1,,51H 51M 51R 54H 9bR 9bV 9eR,,4 5 6 1 G 9 B,
CM-AD-Banyo,1,,51M 51V 53M 54H 54M 54R 54V 56H 56M 56R 56V 9eR,,5 7 F 1 K L M S T 0 V B,
CM-AD-Belel,1,,63V 66H 66M 66R 66V 69M 6cH,,H S T U V 5 N,
CM-AD-Dir,1,,60M 60V 61H 61M 61R 61V 63M aaV abR abV,,1 J 4 5 6 7 F C G H,
CM-AD-Djohong,1,,64V 65R 66M 67H 67M 67R 67V,,M Q T 4 X Y 5,
CM-AD-GalimTignere,1,,56M 56R 56V 57H 57R,,T 0 V W Y,
CM-AD-Kontcha,1,,5cfS 5cfT 5cfY 5cfZ 5daS 5daT 5daZ 5e5J 5e5K 5e5N 5e5P 5e5S 5e5T 5e5Y 5e5Z 5e7J 5e7N 5e7P 5f0J 5f0K 5f0N 5f0S,,W X Y Z N P R 8 9 B C D F G H S U V 0 1 2 4,
CM-AD-Martap,1,,55V 57M 57V 60R 60V 62H 62M 62R 62V 68H 68M 68V 69H,,R X Z 2 J 8 9 B C 0 1 3 4,
CM-AD-MayoBaleo,1,,56R 56V 5cH 5cM 5cR 5cV 5dH 5dM 5dR 5dV 5fH,,0 V J K L M N P Q R W,
CM-AD-MayoDarle,1,,51H 51M 51R 51V 54H 54R,,4 5 6 7 1 L,
CM-AD-Mbe,1,,68M 68V 69H 69M 69R 69V,,1 3 4 5 6 7,
CM-AD-Meiganga,1,,61M 61V 63M 64H 64M 64R 64V 65H 65R 66H 66M abV aeR aeV,,5 7 F J K L M N Q S T H U V,
CM-AD-Nganha,1,,63R 63V 66R 69H 69M 69V 6cH,,G H U 4 5 7 N,
CM-AD-Ngaoui,1,,65aP 65aY 65bK 65bS 65bT 65bY 65bZ 65eT 65eZ 671J 671N 671P 674J 674K 674N 674P 674S 674Y,,M Q T W X Y Z P R 8 B C 0 1 2 3 4 6,
CM-AD-Ngaoundal,1,,55M 60H 60M 60R 60V 62H 9fV aaR aaV,,P 0 1 2 J 8 Z B C,
CM-AD-Ngaoundere1,1,,62dP 62dY 62dZ 62fN 62fP 62fY 62fZ 638K 638S 638T 638Z 63aJ 63aK 63aN 63aP 63aS 63aT 63aY 685N 690J,,C G H U V Y Z 1 4 5 7 J K L M N P Q B 0,
CM-AD-Ngaoundere2,1,,63aN 63aP 63aS 63aT 63aY 63aZ 63bJ 63bK 63bS 63bT 690J 690N 690P 691J 691K,,L M N P Q R S T W X 0 2 3 8 9,
CM-AD-Ngaoundere3,1,,685N 685Y 685Z 687N 690J 690K 690N 690P 690S 690T 690Y 690Z 692J 692K 692N 692P,,B G H U 0 1 2 3 4 5 6 7 J K L M,
CM-AD-Nyambaka,1,,60V 61R 61V 62M 62V 63H 63M 63R 63V 66H 66R,,J 6 7 9 C D F G H S U,
CM-AD-Tibati,1,,54H 54M 54R 54V 55H 55M 55R 55V 56M 57H 57M 60H 60R 9eR 9eV 9fR 9fV,,1 K L M N P Q R T W X 0 2 B C 3 Z,
CM-AD-Tignere,1,,56V 57H 57M 57R 57V 5cM 5dH 5dM 5dV 62R 68H 68M,,V W X Y Z K N P R B 0 1,
CM-CE-Afanloum,1,,943P 943Y 943Z 946J 946K 946S 946T 946Y 946Z 949N 949P 94cJ 94cK 94cN 94cP 94dJ,,V Y Z J K N P Q R B C 0 1 2 3 8,
CM-CE-Akoeman,1,,c9eJ c9eK c9eN c9eP c9eS c9eT c9eY c9eZ c9fJ c9fK c9fS c9fT c9fY c9fZ cb4J cb4K cb4N cb4P cb4Y cb4Z cb5J cb5K cb5N cb5P cb5S cb5T cb5Y cb5Z ce0J ce0K ce0S,,J K L M N P Q R S T W X Y Z 5 U 2 3 6 7 8 9 B C D F G H 0 1 4,
