selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,CM,cm,2023-11-30,f
t,5,CM-AD,cm;ad,2023-11-30,f
t,5,CM-AD,cm;adamaoua,2023-11-30,f
t,5,CM-AD-Bankim,cm;adamaoua;bankim,2023-11-30,f
t,1,CM-AD-Bankim,CM-BKM,2023-11-30,t
t,5,CM-AD-Bankim,cm;ad;bkm,2023-11-30,f
t,1,CM-AD-Bankim,CM-AD-BKM,2023-11-30,f
t,5,CM-AD-Bankim,cm;ad;bankim,2023-11-30,f
t,5,CM-AD-Banyo,cm;ad;banyo,2023-11-30,f
t,5,CM-AD-Banyo,cm;adamaoua;banyo,2023-11-30,f
t,1,CM-AD-Banyo,CM-AD-BYO,2023-11-30,f
t,1,CM-AD-Banyo,CM-BYO,2023-11-30,t
t,5,CM-AD-Banyo,cm;ad;byo,2023-11-30,f
t,5,CM-AD-Belel,cm;ad;belel,2023-11-30,f
t,5,CM-AD-Belel,cm;ad;bll,2023-11-30,f
t,1,CM-AD-Belel,CM-AD-BLL,2023-11-30,f
t,5,CM-AD-Belel,cm;adamaoua;belel,2023-11-30,f
t,1,CM-AD-Belel,CM-BLL,2023-11-30,t
t,5,CM-AD-Dir,cm;adamaoua;dir,2023-11-30,f
t,1,CM-AD-Dir,CM-DIR,2023-11-30,t
t,5,CM-AD-Dir,cm;ad;dir,2023-11-30,f
t,1,CM-AD-Dir,CM-AD-DIR,2023-11-30,f
t,5,CM-AD-Djohong,cm;ad;djohong,2023-11-30,f
t,1,CM-AD-Djohong,CM-DJG,2023-11-30,t
t,1,CM-AD-Djohong,CM-AD-DJG,2023-11-30,f
t,5,CM-AD-Djohong,cm;adamaoua;djohong,2023-11-30,f
t,5,CM-AD-Djohong,cm;ad;djg,2023-11-30,f
t,1,CM-AD-GalimTignere,CM-GLT,2023-11-30,t
t,5,CM-AD-GalimTignere,cm;adamaoua;galim.tignere,2023-11-30,f
t,1,CM-AD-GalimTignere,CM-AD-GLT,2023-11-30,f
t,5,CM-AD-GalimTignere,cm;ad;galim.tignere,2023-11-30,f
